index,variance,mean,std,max,min,range
19,8.2169805e-05,0.0057526827,0.009064756,0.06298828,0.00018882751,0.062799454
276,6.54464e-05,0.005251923,0.008089895,0.055419922,0.00017547607,0.055244446
291,5.9035567e-05,0.004934488,0.0076834606,0.051757812,0.00018596649,0.051571846
11,5.3426567e-05,0.0049359957,0.007309348,0.05102539,0.00017356873,0.050851822
14,5.166877e-05,0.004617866,0.007188099,0.047851562,0.00017261505,0.047678947
1,4.8615722e-05,0.004843646,0.006972498,0.046142578,0.0001707077,0.04597187
33,4.6161767e-05,0.005629103,0.006794245,0.04663086,0.00025177002,0.04637909
12,4.439116e-05,0.0043654284,0.006662669,0.041992188,0.00016307831,0.04182911
6,4.1125066e-05,0.0048351013,0.006412883,0.041992188,0.00022125244,0.041770935
15,3.8692844e-05,0.0051288144,0.006220357,0.048095703,0.00019073486,0.04790497
262,3.858578e-05,0.0036793307,0.006211745,0.040527344,0.00010871887,0.040418625
10,3.806087e-05,0.0044499813,0.006169349,0.045654297,0.00020313263,0.045451164
83,3.7344435e-05,0.004030592,0.0061110095,0.04272461,0.0001296997,0.04259491
17,3.674961e-05,0.0038704674,0.006062146,0.040283203,0.00012493134,0.04015827
8,3.5301302e-05,0.0040939725,0.0059414897,0.03955078,0.00013446808,0.039416313
13,3.2667056e-05,0.0037857005,0.0057155103,0.037353516,0.00012397766,0.037229538
2,2.3575378e-05,0.0035393813,0.0048554484,0.032226562,0.00014400482,0.032082558
7,2.1540467e-05,0.0035755099,0.004641171,0.036132812,0.00014591217,0.0359869
196,2.0678479e-05,0.002499633,0.0045473594,0.03100586,6.2942505e-05,0.030942917
68,2.05878e-05,0.0030838815,0.004537378,0.029296875,0.00010204315,0.029194832
5,1.776306e-05,0.003034127,0.004214625,0.032226562,0.00011014938,0.032116413
3,1.7226737e-05,0.0029625322,0.0041505103,0.03112793,0.00010585785,0.031022072
277,1.6689526e-05,0.0029847892,0.004085282,0.02722168,0.00011968613,0.027101994
4,1.6119002e-05,0.0029108515,0.004014848,0.030273438,0.000101566315,0.030171871
18,1.4210808e-05,0.00275183,0.0037697225,0.026123047,0.0001039505,0.026019096
24,1.2172604e-05,0.0023857797,0.003488926,0.029541016,5.364418e-05,0.029487371
20,1.1999984e-05,0.002789353,0.0034640993,0.026855469,0.000121593475,0.026733875
290,1.0478681e-05,0.0019185161,0.0032370791,0.020629883,5.1021576e-05,0.020578861
115,7.846327e-06,0.001452373,0.0028011296,0.026123047,3.0845404e-06,0.026119962
36,7.1392146e-06,0.0018501822,0.002671931,0.020874023,4.053116e-05,0.020833492
279,6.7919436e-06,0.0019141798,0.0026061358,0.01940918,6.246567e-05,0.019346714
80,6.706353e-06,0.0014502272,0.0025896628,0.022827148,3.3676624e-06,0.02282378
84,6.472587e-06,0.0016594793,0.0025441279,0.019042969,4.339218e-05,0.018999577
21,5.6901545e-06,0.001540321,0.0023854044,0.016845703,5.865097e-05,0.016787052
278,5.2380938e-06,0.0018140875,0.0022886882,0.018432617,6.389618e-05,0.018368721
25,5.2313594e-06,0.0014046936,0.0022872165,0.02368164,4.4584274e-05,0.023637056
252,4.2381116e-06,0.0011524089,0.0020586674,0.020874023,7.56979e-06,0.020866454
285,4.0713767e-06,0.0014458218,0.0020177653,0.015197754,4.6253204e-05,0.015151501
280,4.005611e-06,0.0015696558,0.0020014022,0.015258789,5.4597855e-05,0.015204191
259,3.7183793e-06,0.0009759827,0.0019283099,0.020629883,5.185604e-06,0.020624697
282,3.2760786e-06,0.0013939331,0.0018099941,0.012145996,4.863739e-05,0.012097359
286,2.5037884e-06,0.0012197673,0.0015823364,0.011779785,4.5776367e-05,0.011734009
35,2.5031682e-06,0.00093576167,0.0015821403,0.015991211,2.2530556e-05,0.01596868
263,2.487382e-06,0.0007913345,0.0015771437,0.013427734,3.2633543e-06,0.013424471
288,2.375353e-06,0.0012696177,0.001541218,0.010803223,5.364418e-05,0.0107495785
32,2.363459e-06,0.0009189388,0.0015373545,0.014038086,1.2814999e-06,0.014036804
287,2.20014e-06,0.0011672238,0.0014832868,0.0107421875,3.71933e-05,0.010704994
283,2.1984226e-06,0.0010529048,0.0014827079,0.010437012,2.9802322e-05,0.010407209
284,2.1039878e-06,0.0010999739,0.0014505129,0.011962891,2.8967857e-05,0.011933923
